id,answer,correct.answer,prefix.propt,full.len.prefix,prefix.revealed,s1,s2,s3,s4
gold01,s1,s1,1.0,7,7,食べたがっている。,食いたい。,食事をしたがっている。,食べたい。
gold01,s1,s1,1.0,7,7,食べたがっている。,食いたい。,食事をしたがっている。,食べたい。
gold01,s1,s1,1.0,7,7,食べたがっている。,食いたい。,食事をしたがっている。,食べたい。
gold01,s1,s1,1.0,7,7,食べたがっている。,食いたい。,食事をしたがっている。,食べたい。
gold01,s1,s1,1.0,7,7,食べたがっている。,食いたい。,食事をしたがっている。,食べたい。
gold01,s1,s1,1.0,7,7,食べたがっている。,食いたい。,食事をしたがっている。,食べたい。
gold01,s1,s1,1.0,7,7,食べたがっている。,食いたい。,食事をしたがっている。,食べたい。
gold01,s1,s1,1.0,7,7,食べたがっている。,食いたい。,食事をしたがっている。,食べたい。
gold01,s1,s1,1.0,7,7,食べたがっている。,食いたい。,食事をしたがっている。,食べたい。
gold02,s3,s3,1.0,5,5,あげた。,贈った。,いただいた。,あげられた。
gold02,s3,s3,1.0,5,5,あげた。,贈った。,いただいた。,あげられた。
gold02,s2,s3,1.0,5,5,あげた。,贈った。,いただいた。,あげられた。
gold02,s3,s3,1.0,5,5,あげた。,贈った。,いただいた。,あげられた。
gold02,s3,s3,1.0,5,5,あげた。,贈った。,いただいた。,あげられた。
gold02,s3,s3,1.0,5,5,あげた。,贈った。,いただいた。,あげられた。
gold02,s3,s3,1.0,5,5,あげた。,贈った。,いただいた。,あげられた。
gold02,s3,s3,1.0,5,5,あげた。,贈った。,いただいた。,あげられた。
gold02,s3,s3,1.0,5,5,あげた。,贈った。,いただいた。,あげられた。
gold02,s3,s3,1.0,5,5,あげた。,贈った。,いただいた。,あげられた。
gold02,s3,s3,1.0,5,5,あげた。,贈った。,いただいた。,あげられた。
gold02,s3,s3,1.0,5,5,あげた。,贈った。,いただいた。,あげられた。
gold03,s4,s3,1.0,10,10,望む。,信じない。,思う。,思わない。
gold03,s3,s3,1.0,10,10,望む。,信じない。,思う。,思わない。
gold03,s3,s3,1.0,10,10,望む。,信じない。,思う。,思わない。
gold03,s3,s3,1.0,10,10,望む。,信じない。,思う。,思わない。
gold03,s3,s3,1.0,10,10,望む。,信じない。,思う。,思わない。
gold03,s3,s3,1.0,10,10,望む。,信じない。,思う。,思わない。
gold03,s3,s3,1.0,10,10,望む。,信じない。,思う。,思わない。
gold03,s3,s3,1.0,10,10,望む。,信じない。,思う。,思わない。
gold04,s3,s3,1.0,5,5,勉強するかもしれない。,会えるかもしれない。,行くかもしれない。,帰るかもしれない。
gold04,s3,s3,1.0,5,5,勉強するかもしれない。,会えるかもしれない。,行くかもしれない。,帰るかもしれない。
gold04,s3,s3,1.0,5,5,勉強するかもしれない。,会えるかもしれない。,行くかもしれない。,帰るかもしれない。
gold04,s3,s3,1.0,5,5,勉強するかもしれない。,会えるかもしれない。,行くかもしれない。,帰るかもしれない。
gold04,s3,s3,1.0,5,5,勉強するかもしれない。,会えるかもしれない。,行くかもしれない。,帰るかもしれない。
gold04,s3,s3,1.0,5,5,勉強するかもしれない。,会えるかもしれない。,行くかもしれない。,帰るかもしれない。
gold04,s3,s3,1.0,5,5,勉強するかもしれない。,会えるかもしれない。,行くかもしれない。,帰るかもしれない。
gold04,s3,s3,1.0,5,5,勉強するかもしれない。,会えるかもしれない。,行くかもしれない。,帰るかもしれない。
gold04,s3,s3,1.0,5,5,勉強するかもしれない。,会えるかもしれない。,行くかもしれない。,帰るかもしれない。
gold04,s3,s3,1.0,5,5,勉強するかもしれない。,会えるかもしれない。,行くかもしれない。,帰るかもしれない。
gold05,s2,s2,1.0,7,7,済んでいる。,通してある。,かけている。,伝えられている。
gold05,s2,s2,1.0,7,7,済んでいる。,通してある。,かけている。,伝えられている。
gold05,s2,s2,1.0,7,7,済んでいる。,通してある。,かけている。,伝えられている。
gold05,s2,s2,1.0,7,7,済んでいる。,通してある。,かけている。,伝えられている。
gold05,s2,s2,1.0,7,7,済んでいる。,通してある。,かけている。,伝えられている。
gold05,s2,s2,1.0,7,7,済んでいる。,通してある。,かけている。,伝えられている。
gold05,s2,s2,1.0,7,7,済んでいる。,通してある。,かけている。,伝えられている。
gold05,s2,s2,1.0,7,7,済んでいる。,通してある。,かけている。,伝えられている。
gold06,s3,s3,1.0,6,6,怒鳴りちらした。,怒鳴れた。,怒鳴られた。,怒鳴り始めた。
gold06,s3,s3,1.0,6,6,怒鳴りちらした。,怒鳴れた。,怒鳴られた。,怒鳴り始めた。
gold06,s3,s3,1.0,6,6,怒鳴りちらした。,怒鳴れた。,怒鳴られた。,怒鳴り始めた。
gold06,s3,s3,1.0,6,6,怒鳴りちらした。,怒鳴れた。,怒鳴られた。,怒鳴り始めた。
gold06,s2,s3,1.0,6,6,怒鳴りちらした。,怒鳴れた。,怒鳴られた。,怒鳴り始めた。
gold06,s3,s3,1.0,6,6,怒鳴りちらした。,怒鳴れた。,怒鳴られた。,怒鳴り始めた。
gold07,s2,s2,1.0,9,9,叱られた。,叱責していた。,責められた。,慰めていた。
gold07,s2,s2,1.0,9,9,叱られた。,叱責していた。,責められた。,慰めていた。
gold07,s2,s2,1.0,9,9,叱られた。,叱責していた。,責められた。,慰めていた。
gold07,s2,s2,1.0,9,9,叱られた。,叱責していた。,責められた。,慰めていた。
gold07,s2,s2,1.0,9,9,叱られた。,叱責していた。,責められた。,慰めていた。
gold07,s2,s2,1.0,9,9,叱られた。,叱責していた。,責められた。,慰めていた。
gold07,s2,s2,1.0,9,9,叱られた。,叱責していた。,責められた。,慰めていた。
gold08,s2,s2,1.0,7,7,書かせた。,書いてもらった。,書いた。,書こうとした。
gold08,s2,s2,1.0,7,7,書かせた。,書いてもらった。,書いた。,書こうとした。
gold08,s2,s2,1.0,7,7,書かせた。,書いてもらった。,書いた。,書こうとした。
gold08,s4,s2,1.0,7,7,書かせた。,書いてもらった。,書いた。,書こうとした。
gold08,s2,s2,1.0,7,7,書かせた。,書いてもらった。,書いた。,書こうとした。
gold08,s2,s2,1.0,7,7,書かせた。,書いてもらった。,書いた。,書こうとした。
gold08,s2,s2,1.0,7,7,書かせた。,書いてもらった。,書いた。,書こうとした。
gold08,s2,s2,1.0,7,7,書かせた。,書いてもらった。,書いた。,書こうとした。
gold08,s2,s2,1.0,7,7,書かせた。,書いてもらった。,書いた。,書こうとした。
gold08,s2,s2,1.0,7,7,書かせた。,書いてもらった。,書いた。,書こうとした。
gold08,s2,s2,1.0,7,7,書かせた。,書いてもらった。,書いた。,書こうとした。
gold09,s2,s2,1.0,6,6,起こった。,なめた。,食べた。,味わった。
gold09,s2,s2,1.0,6,6,起こった。,なめた。,食べた。,味わった。
gold09,s2,s2,1.0,6,6,起こった。,なめた。,食べた。,味わった。
gold09,s2,s2,1.0,6,6,起こった。,なめた。,食べた。,味わった。
gold09,s2,s2,1.0,6,6,起こった。,なめた。,食べた。,味わった。
gold09,s2,s2,1.0,6,6,起こった。,なめた。,食べた。,味わった。
gold09,s2,s2,1.0,6,6,起こった。,なめた。,食べた。,味わった。
gold09,s2,s2,1.0,6,6,起こった。,なめた。,食べた。,味わった。
gold09,s2,s2,1.0,6,6,起こった。,なめた。,食べた。,味わった。
gold10,s3,s3,1.0,7,7,決定できない。,推測できない。,許さない。,しない。
gold10,s3,s3,1.0,7,7,決定できない。,推測できない。,許さない。,しない。
gold10,s3,s3,1.0,7,7,決定できない。,推測できない。,許さない。,しない。
gold10,s3,s3,1.0,7,7,決定できない。,推測できない。,許さない。,しない。
gold10,s3,s3,1.0,7,7,決定できない。,推測できない。,許さない。,しない。
gold10,s3,s3,1.0,7,7,決定できない。,推測できない。,許さない。,しない。
gold10,s3,s3,1.0,7,7,決定できない。,推測できない。,許さない。,しない。
gold10,s3,s3,1.0,7,7,決定できない。,推測できない。,許さない。,しない。
gold10,s3,s3,1.0,7,7,決定できない。,推測できない。,許さない。,しない。
gold10,s3,s3,1.0,7,7,決定できない。,推測できない。,許さない。,しない。
gold10,s3,s3,1.0,7,7,決定できない。,推測できない。,許さない。,しない。
gold11,s3,s3,1.0,6,6,下げていた。,打っていた。,落としていた。,叩いていた。
gold11,s3,s3,1.0,6,6,下げていた。,打っていた。,落としていた。,叩いていた。
gold11,s3,s3,1.0,6,6,下げていた。,打っていた。,落としていた。,叩いていた。
gold11,s3,s3,1.0,6,6,下げていた。,打っていた。,落としていた。,叩いていた。
gold11,s3,s3,1.0,6,6,下げていた。,打っていた。,落としていた。,叩いていた。
gold11,s3,s3,1.0,6,6,下げていた。,打っていた。,落としていた。,叩いていた。
gold11,s3,s3,1.0,6,6,下げていた。,打っていた。,落としていた。,叩いていた。
gold12,s1,s3,1.0,6,6,広げた。,見せた。,切った。,示した。
gold12,s3,s3,1.0,6,6,広げた。,見せた。,切った。,示した。
gold12,s3,s3,1.0,6,6,広げた。,見せた。,切った。,示した。
gold12,s3,s3,1.0,6,6,広げた。,見せた。,切った。,示した。
gold12,s3,s3,1.0,6,6,広げた。,見せた。,切った。,示した。
gold12,s3,s3,1.0,6,6,広げた。,見せた。,切った。,示した。
gold12,s3,s3,1.0,6,6,広げた。,見せた。,切った。,示した。
gold12,s3,s3,1.0,6,6,広げた。,見せた。,切った。,示した。
gold12,s1,s3,1.0,6,6,広げた。,見せた。,切った。,示した。
gold13,s3,s1,1.0,5,5,被っていた。,撫でていた。,抱いた。,化けていた。
gold13,s1,s1,1.0,5,5,被っていた。,撫でていた。,抱いた。,化けていた。
gold13,s1,s1,1.0,5,5,被っていた。,撫でていた。,抱いた。,化けていた。
gold13,s1,s1,1.0,5,5,被っていた。,撫でていた。,抱いた。,化けていた。
gold13,s1,s1,1.0,5,5,被っていた。,撫でていた。,抱いた。,化けていた。
gold13,s1,s1,1.0,5,5,被っていた。,撫でていた。,抱いた。,化けていた。
gold13,s1,s1,1.0,5,5,被っていた。,撫でていた。,抱いた。,化けていた。
gold13,s1,s1,1.0,5,5,被っていた。,撫でていた。,抱いた。,化けていた。
gold13,s1,s1,1.0,5,5,被っていた。,撫でていた。,抱いた。,化けていた。
gold14,s3,s3,1.0,7,7,作る。,曲げる。,戻す。,壊す。
gold14,s3,s3,1.0,7,7,作る。,曲げる。,戻す。,壊す。
gold14,s3,s3,1.0,7,7,作る。,曲げる。,戻す。,壊す。
gold14,s3,s3,1.0,7,7,作る。,曲げる。,戻す。,壊す。
gold14,s3,s3,1.0,7,7,作る。,曲げる。,戻す。,壊す。
gold14,s3,s3,1.0,7,7,作る。,曲げる。,戻す。,壊す。
gold14,s3,s3,1.0,7,7,作る。,曲げる。,戻す。,壊す。
gold14,s3,s3,1.0,7,7,作る。,曲げる。,戻す。,壊す。
gold14,s3,s3,1.0,7,7,作る。,曲げる。,戻す。,壊す。
gold15,s2,s2,1.0,4,4,撫でている。,使っている。,示している。,命令している。
gold15,s2,s2,1.0,4,4,撫でている。,使っている。,示している。,命令している。
gold15,s2,s2,1.0,4,4,撫でている。,使っている。,示している。,命令している。
gold15,s2,s2,1.0,4,4,撫でている。,使っている。,示している。,命令している。
gold15,s2,s2,1.0,4,4,撫でている。,使っている。,示している。,命令している。
gold15,s2,s2,1.0,4,4,撫でている。,使っている。,示している。,命令している。
gold15,s2,s2,1.0,4,4,撫でている。,使っている。,示している。,命令している。
gold15,s2,s2,1.0,4,4,撫でている。,使っている。,示している。,命令している。
gold15,s2,s2,1.0,4,4,撫でている。,使っている。,示している。,命令している。
gold16,s4,s4,1.0,5,5,働きます。,努力します。,起こします。,対応します。
gold16,s4,s4,1.0,5,5,働きます。,努力します。,起こします。,対応します。
gold16,s4,s4,1.0,5,5,働きます。,努力します。,起こします。,対応します。
gold16,s4,s4,1.0,5,5,働きます。,努力します。,起こします。,対応します。
gold16,s4,s4,1.0,5,5,働きます。,努力します。,起こします。,対応します。
gold16,s4,s4,1.0,5,5,働きます。,努力します。,起こします。,対応します。
gold16,s4,s4,1.0,5,5,働きます。,努力します。,起こします。,対応します。
gold17,s1,s1,1.0,8,8,分かつ。,離れる。,裂く。,放す。
gold17,s3,s1,1.0,8,8,分かつ。,離れる。,裂く。,放す。
gold17,s3,s1,1.0,8,8,分かつ。,離れる。,裂く。,放す。
gold17,s1,s1,1.0,8,8,分かつ。,離れる。,裂く。,放す。
gold17,s1,s1,1.0,8,8,分かつ。,離れる。,裂く。,放す。
gold17,s3,s1,1.0,8,8,分かつ。,離れる。,裂く。,放す。
gold17,s1,s1,1.0,8,8,分かつ。,離れる。,裂く。,放す。
gold17,s3,s1,1.0,8,8,分かつ。,離れる。,裂く。,放す。
gold17,s1,s1,1.0,8,8,分かつ。,離れる。,裂く。,放す。
gold17,s3,s1,1.0,8,8,分かつ。,離れる。,裂く。,放す。
gold18,s1,s1,1.0,5,5,荒れる。,すさむ。,割れる。,そがれる。
gold18,s1,s1,1.0,5,5,荒れる。,すさむ。,割れる。,そがれる。
gold18,s1,s1,1.0,5,5,荒れる。,すさむ。,割れる。,そがれる。
gold18,s1,s1,1.0,5,5,荒れる。,すさむ。,割れる。,そがれる。
gold18,s1,s1,1.0,5,5,荒れる。,すさむ。,割れる。,そがれる。
gold18,s1,s1,1.0,5,5,荒れる。,すさむ。,割れる。,そがれる。
gold19,s2,s2,1.0,12,12,消そうとした。,消された。,消した。,消させた。
gold19,s2,s2,1.0,12,12,消そうとした。,消された。,消した。,消させた。
gold19,s2,s2,1.0,12,12,消そうとした。,消された。,消した。,消させた。
gold19,s2,s2,1.0,12,12,消そうとした。,消された。,消した。,消させた。
gold19,s2,s2,1.0,12,12,消そうとした。,消された。,消した。,消させた。
gold19,s2,s2,1.0,12,12,消そうとした。,消された。,消した。,消させた。
gold19,s2,s2,1.0,12,12,消そうとした。,消された。,消した。,消させた。
gold19,s2,s2,1.0,12,12,消そうとした。,消された。,消した。,消させた。
gold20,s2,s2,1.0,8,8,喜ばしい。,嬉しそうだ。,楽しんだ。,幸せにした。
gold20,s2,s2,1.0,8,8,喜ばしい。,嬉しそうだ。,楽しんだ。,幸せにした。
gold20,s2,s2,1.0,8,8,喜ばしい。,嬉しそうだ。,楽しんだ。,幸せにした。
gold20,s2,s2,1.0,8,8,喜ばしい。,嬉しそうだ。,楽しんだ。,幸せにした。
gold20,s2,s2,1.0,8,8,喜ばしい。,嬉しそうだ。,楽しんだ。,幸せにした。
gold20,s2,s2,1.0,8,8,喜ばしい。,嬉しそうだ。,楽しんだ。,幸せにした。
gold20,s2,s2,1.0,8,8,喜ばしい。,嬉しそうだ。,楽しんだ。,幸せにした。
gold20,s2,s2,1.0,8,8,喜ばしい。,嬉しそうだ。,楽しんだ。,幸せにした。
gold20,s2,s2,1.0,8,8,喜ばしい。,嬉しそうだ。,楽しんだ。,幸せにした。
gold20,s2,s2,1.0,8,8,喜ばしい。,嬉しそうだ。,楽しんだ。,幸せにした。
gold20,s2,s2,1.0,8,8,喜ばしい。,嬉しそうだ。,楽しんだ。,幸せにした。
gold20,s2,s2,1.0,8,8,喜ばしい。,嬉しそうだ。,楽しんだ。,幸せにした。
test01,s4,s1,0.17,12,2,いう。,あった。,なる。,見られる。
