percent_perturbed,perturbation,input,readable_output,model_type,tokenized_output,confidence,bleu_score,control_number
100,lemmatization,bpe_set/lemmatization_100.en.bpe,translations/out_lemmatization_100.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_lemmatization_100.zh_shuffled-en-zh.bpe,μ = 28.5 ± 0.7,28.5,1
10,lemmatization,bpe_set/lemmatization_10.en.bpe,translations/out_lemmatization_10.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_lemmatization_10.zh_shuffled-en-zh.bpe,μ = 35.9 ± 0.7,35.9,1
20,lemmatization,bpe_set/lemmatization_20.en.bpe,translations/out_lemmatization_20.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_lemmatization_20.zh_shuffled-en-zh.bpe,μ = 35.1 ± 0.7,35.1,1
30,lemmatization,bpe_set/lemmatization_30.en.bpe,translations/out_lemmatization_30.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_lemmatization_30.zh_shuffled-en-zh.bpe,μ = 34.2 ± 0.7,34.2,1
40,lemmatization,bpe_set/lemmatization_40.en.bpe,translations/out_lemmatization_40.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_lemmatization_40.zh_shuffled-en-zh.bpe,μ = 33.2 ± 0.7,33.2,1
50,lemmatization,bpe_set/lemmatization_50.en.bpe,translations/out_lemmatization_50.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_lemmatization_50.zh_shuffled-en-zh.bpe,μ = 32.4 ± 0.7,32.4,1
60,lemmatization,bpe_set/lemmatization_60.en.bpe,translations/out_lemmatization_60.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_lemmatization_60.zh_shuffled-en-zh.bpe,μ = 31.3 ± 0.7,31.3,1
70,lemmatization,bpe_set/lemmatization_70.en.bpe,translations/out_lemmatization_70.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_lemmatization_70.zh_shuffled-en-zh.bpe,μ = 30.6 ± 0.7,30.6,1
80,lemmatization,bpe_set/lemmatization_80.en.bpe,translations/out_lemmatization_80.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_lemmatization_80.zh_shuffled-en-zh.bpe,μ = 30.0 ± 0.7,30.0,1
90,lemmatization,bpe_set/lemmatization_90.en.bpe,translations/out_lemmatization_90.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_lemmatization_90.zh_shuffled-en-zh.bpe,μ = 29.1 ± 0.7,29.1,1
100,removed punctuation,bpe_set/no_punctuation_100.en.bpe,translations/out_no_punctuation_100.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_no_punctuation_100.zh_shuffled-en-zh.bpe,μ = 28.7 ± 0.6,28.7,2
10,removed punctuation,bpe_set/no_punctuation_10.en.bpe,translations/out_no_punctuation_10.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_no_punctuation_10.zh_shuffled-en-zh.bpe,μ = 35.2 ± 0.7,35.2,2
20,removed punctuation,bpe_set/no_punctuation_20.en.bpe,translations/out_no_punctuation_20.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_no_punctuation_20.zh_shuffled-en-zh.bpe,μ = 34.5 ± 0.7,34.5,2
30,removed punctuation,bpe_set/no_punctuation_30.en.bpe,translations/out_no_punctuation_30.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_no_punctuation_30.zh_shuffled-en-zh.bpe,μ = 33.9 ± 0.7,33.9,2
40,removed punctuation,bpe_set/no_punctuation_40.en.bpe,translations/out_no_punctuation_40.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_no_punctuation_40.zh_shuffled-en-zh.bpe,μ = 33.1 ± 0.7,33.1,2
50,removed punctuation,bpe_set/no_punctuation_50.en.bpe,translations/out_no_punctuation_50.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_no_punctuation_50.zh_shuffled-en-zh.bpe,μ = 32.2 ± 0.7,32.2,2
60,removed punctuation,bpe_set/no_punctuation_60.en.bpe,translations/out_no_punctuation_60.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_no_punctuation_60.zh_shuffled-en-zh.bpe,μ = 31.2 ± 0.7,31.2,2
70,removed punctuation,bpe_set/no_punctuation_70.en.bpe,translations/out_no_punctuation_70.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_no_punctuation_70.zh_shuffled-en-zh.bpe,μ = 30.4 ± 0.7,30.4,2
80,removed punctuation,bpe_set/no_punctuation_80.en.bpe,translations/out_no_punctuation_80.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_no_punctuation_80.zh_shuffled-en-zh.bpe,μ = 29.4 ± 0.7,29.5,2
90,removed punctuation,bpe_set/no_punctuation_90.en.bpe,translations/out_no_punctuation_90.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_no_punctuation_90.zh_shuffled-en-zh.bpe,μ = 28.7 ± 0.6,28.7,2
100,all named entities,bpe_set/removed_named_allentities_100.en.bpe,translations/out_removed_named_allentities_100.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_allentities_100.zh_shuffled-en-zh.bpe,μ = 21.3 ± 0.6,21.3,3
10,all named entities,bpe_set/removed_named_allentities_10.en.bpe,translations/out_removed_named_allentities_10.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_allentities_10.zh_shuffled-en-zh.bpe,μ = 34.8 ± 0.7,34.8,3
20,all named entities,bpe_set/removed_named_allentities_20.en.bpe,translations/out_removed_named_allentities_20.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_allentities_20.zh_shuffled-en-zh.bpe,μ = 32.9 ± 0.7,32.9,3
30,all named entities,bpe_set/removed_named_allentities_30.en.bpe,translations/out_removed_named_allentities_30.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_allentities_30.zh_shuffled-en-zh.bpe,μ = 31.2 ± 0.7,31.2,3
40,all named entities,bpe_set/removed_named_allentities_40.en.bpe,translations/out_removed_named_allentities_40.zh_shuffled-en-zh.tok,shuffled-en-zh,out_bpe_set/out_removed_named_allentities_40.zh_shuffled-en-zh.bpe,μ = 29.2 ± 0.6,29.2,3
